TIC ID,Sector,class,confidence
216858074,39,Delta Scuti,0.980908871
468985290,44,Delta Scuti,0.980904758
451424697,39,Delta Scuti,0.98089385
175409424,28,Delta Scuti,0.9808929
296429708,35,Delta Scuti,0.98088056
158916489,52,Delta Scuti,0.98085529
309718307,28,Delta Scuti,0.9808473
261203891,39,Delta Scuti,0.98084623
377158163,50,Delta Scuti,0.98083383
75881632,53,Delta Scuti,0.98082089
420136536,52,Delta Scuti,0.98080188
386154220,44,Delta Scuti,0.98080027
310309046,37,Delta Scuti,0.98078352
254142011,27,Delta Scuti,0.98078227
284619103,33,Delta Scuti,0.98077273
373210707,32,Delta Scuti,0.9807598
78772886,36,Delta Scuti,0.98075795
125368230,55,Delta Scuti,0.98075324
117063153,55,Delta Scuti,0.98073018
274511577,51,Delta Scuti,0.98072219
419156073,54,Delta Scuti,0.98065954
307624942,34,Delta Scuti,0.98062015
25211001,35,Delta Scuti,0.98053485
66488360,41,Delta Scuti,0.98046839
372163405,38,Delta Scuti,0.98045522
60132232,43,Delta Scuti,0.98039812
301249896,39,Delta Scuti,0.98039323
262869955,38,Delta Scuti,0.98034865
142082235,28,Delta Scuti,0.98034579
91696910,44,Delta Scuti,0.98033226
441936235,37,Delta Scuti,0.980321467
157118534,36,Delta Scuti,0.98031288
63905200,29,Delta Scuti,0.98029584
461262165,37,Delta Scuti,0.98026752
269026204,54,Delta Scuti,0.98011601
99934473,33,Delta Scuti,0.98009914
443900046,34,Delta Scuti,0.980062962
282051545,37,Delta Scuti,0.9800294
123029418,35,Delta Scuti,0.98002565
413253402,35,Delta Scuti,0.97999316
394562880,38,Delta Scuti,0.97998869
138285753,45,Delta Scuti,0.97998238
81094707,35,Delta Scuti,0.97995466
285049320,47,Delta Scuti,0.97993577
243228551,43,Delta Scuti,0.97993439
16155498,44,Delta Scuti,0.97991061
117061983,55,Delta Scuti,0.9798982
309931768,35,Delta Scuti,0.97989494
420136536,47,Delta Scuti,0.979887843
14612516,45,Delta Scuti,0.97984755
97703000,34,Delta Scuti,0.97984046
30156100,41,Delta Scuti,0.97983927
7844614,34,Delta Scuti,0.97976637
300308577,39,Delta Scuti,0.97976351
376977674,48,Delta Scuti,0.97973061
301160105,39,Delta Scuti,0.97972143
29521574,44,Delta Scuti,0.97967476
262444323,33,Delta Scuti,0.9796108
158960327,33,Delta Scuti,0.97960448
435383519,41,Delta Scuti,0.97959799
70036070,39,Delta Scuti,0.9795926
268052589,47,Delta Scuti,0.97951174
435916016,44,Delta Scuti,0.97945696
274511577,53,Delta Scuti,0.97939521
125544383,39,Delta Scuti,0.97939175
142082235,30,Delta Scuti,0.97937232
310309046,35,Delta Scuti,0.97931468
390019991,54,Delta Scuti,0.97929686
435994811,41,Delta Scuti,0.97928667
276055067,55,Delta Scuti,0.97920859
264163127,45,Delta Scuti,0.97913373
390019991,53,Delta Scuti,0.97905207
91619889,44,Delta Scuti,0.97899318
404630592,43,Delta Scuti,0.978988051
410451583,27,Delta Scuti,0.97898233
312043244,55,Delta Scuti,0.97894716
367370090,44,Delta Scuti,0.97892749
258053346,34,Delta Scuti,0.97891474
118267777,43,Delta Scuti,0.9788931
345354244,52,Delta Scuti,0.97887015
344403076,38,Delta Scuti,0.978749931
346231856,39,Delta Scuti,0.9787147
234274232,33,Delta Scuti,0.97870386
334632691,35,Delta Scuti,0.978659689
84729507,54,Delta Scuti,0.97863626
142082235,32,Delta Scuti,0.97859895
21967369,40,Delta Scuti,0.97854841
363454805,39,Delta Scuti,0.97853822
358216034,45,Delta Scuti,0.97851914
57597784,41,Delta Scuti,0.97848803
315739657,54,Delta Scuti,0.97848582
356528601,35,Delta Scuti,0.97844762
285026194,35,Delta Scuti,0.97844476
108567854,34,Delta Scuti,0.97843391
192263424,35,Delta Scuti,0.97842795
114788209,27,Delta Scuti,0.97841221
264163127,33,Delta Scuti,0.97835892
354410962,52,Delta Scuti,0.97835803
367370090,45,Delta Scuti,0.97822177
310309046,36,Delta Scuti,0.97819763
376977674,40,Delta Scuti,0.97818941
427739240,43,Delta Scuti,0.97818768
268052589,48,Delta Scuti,0.97816032
75881632,40,Delta Scuti,0.97812337
443900046,44,Delta Scuti,0.97804946
294097368,29,Delta Scuti,0.97804445
435710525,54,Delta Scuti,0.97802246
224544751,40,Delta Scuti,0.97797662
272489559,55,Delta Scuti,0.97793818
427739240,44,Delta Scuti,0.977908909
393880762,38,Delta Scuti,0.97790217
261203891,28,Delta Scuti,0.97787207
401978879,38,Delta Scuti,0.97787046
260947147,38,Delta Scuti,0.97784895
436138120,41,Delta Scuti,0.97780514
258978550,33,Delta Scuti,0.9777689
4167254,47,Delta Scuti,0.97770625
